S NO,COLOR NAME,QUARRY NAME,APO NO,L,H,W,CBM,CUTTING METHOD,SLABS,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,RECOVERY CBM FOR DISPATCH,BALANCE SLABS,SFT FOR BAL SLABS,CBM FOR BAL SLABS,TOTAL SFT FOR BLOCK,AVERAGE SFT PER CBM,TOTAL  RECOVERY CBM FOR BLOCK
1,Himalayan Blue,NULL,809 A,340,200,220,14.96,Cutter 2cm,78,2838.73,78,2246.11,6.0706,0,0.000,0.000,4679.360,312.791,12.647
2,Himalayan Blue,NULL,809 B,,,,,Cutter 2cm,78,2826.14,78,2433.25,6.5764,0,0.000,0.000,,,
3,Himalayan Blue,NULL,810 A,345,205,210,14.852,Cutter 2cm,76,2749.91,76,2223.88,6.0105,0,0.000,0.000,4526.710,304.783,12.234
4,Himalayan Blue,NULL,810 B,,,,,Cutter 2cm,75,2757.40,75,2302.83,6.2239,0,0.000,0.000,,,
5,Himalayan Blue,NULL,811 A,340,200,210,14.28,Cutter 2cm,76,2698.04,76,2079.9,5.6214,0,0.000,0.000,4240.070,296.924,11.460
6,Himalayan Blue,NULL,811 B,,,,,Cutter 2cm,75,2607.64,75,2160.17,5.8383,0,0.000,0.000,,,
7,Himalayan Blue,NULL,812 A,340,200,210,14.28,Cutter 2cm,76,2055.44,76,1806.01,4.8811,0,0.000,0.000,4118.570,288.415,11.131
8,Himalayan Blue,NULL,812 B,,,,,Cutter 2cm,76,2725.86,76,2312.56,6.2502,0,0.000,0.000,,,
9,Himalayan Blue,NULL,813 A,340,200,215,14.62,Cutter 2cm,77,2830.93,77,2352.04,6.3569,0,0.000,0.000,4479.888,306.422,12.108
10,Himalayan Blue,NULL,813 B,,,,,Cutter 2cm,76,2789.99,70,1959.86,5.2969,6,167.988,0.454,,,
11,Himalayan Blue,NULL,814 A,340,200,205,13.94,Cutter 2cm,76,2624.82,76,2110.75,5.7047,0,0.000,0.000,4224.500,303.049,11.418
12,Himalayan Blue,NULL,814 B,,,,,Cutter 2cm,76,2473.30,76,2113.75,5.7128,0,0.000,0.000,,,
13,Himalayan Blue,NULL,815 A,340,200,210,14.280,Cutter 2cm,77,2888.12,77,2405.33,6.5009,0,0.000,0.000,4254.890,297.961,11.500
14,Himalayan Blue,NULL,815 B,,,,,Cutter 2cm,73,2683.87,73,1849.56,4.9988,0,0.000,0.000,,,
15,Himalayan Blue,NULL,816 A,340,200,215,14.620,Cutter 2cm,71,2633.04,71,2061.96,5.5729,0,0.000,0.000,4112.814,281.314,11.116
16,Himalayan Blue,NULL,816 B,,,,,Cutter 2cm,78,2838.73,50,1314.65,3.5531,28,736.204,1.990,,,
17,Himalayan Blue,NULL,817 A,340,200,215,14.620,Cutter 2cm,76,2753.67,76,2262.13,6.1139,0,0.000,0.000,4290.197,293.447,11.595
18,Himalayan Blue,NULL,817  B,,,,,Cutter 2cm,70,2473.74,67,1941.15,5.2464,3,86.917,0.235,,,
19,Himalayan Blue,NULL,818 A,340,200,215,14.620,Cutter 2cm,76,2737.72,71,2065.19,5.5816,5,145.436,0.393,4540.456,310.565,12.272
20,Himalayan Blue,NULL,818 B,,,,,Cutter 2cm,76,2725.86,76,2329.83,6.2968,0,0.000,0.000,,,
21,Himalayan Blue,NULL,819 A,340,200,210,14.280,Cutter 2cm,75,2717.44,75,2291.35,6.1928,0,0.000,0.000,4548.450,318.519,12.293
22,Himalayan Blue,NULL,819 B,,,,,Cutter 2cm,76,2630.96,76,2257.1,6.1003,0,0.000,0.000,,,
