NO,BLOCK NO.,COLOR NAME,L,H,W,CBM,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,BALANCE SLABS,SFT FOR BAL SLABS,TOTAL SFT FOR BLOCK,Recovery
1,26,IMPERIAL GOLD,365,210,204,15.6366,3515,111,3357.91,0,0,3357.91,214.746812
2,27,IMPERIAL GOLD,350,205,210,15.0675,3652,119,3311.05,0,0,3311.05,219.7478016
3,50,IMPERIAL GOLD,335,220,205,15.1085,4896.84,73,4366.24,0,0,4366.24,288.9922891
4,51,IMPERIAL GOLD,315,141,200,8.883,4326.48,54,3240.1,0,0,3240.1,364.7528988
5,52,IMPERIAL GOLD,348,180,216,13.53024,3452.66,58,3961.97,0,0,3961.97,292.823335
6,53,IMPERIAL GOLD,344,170,217,12.69016,4644.97,65,4046.43,0,0,4046.43,318.8635919
7,54,IMPERIAL GOLD,347,161,202,11.285134,3541.6,53,3323.71,0,0,3323.71,294.521093
8,55,IMPERIAL GOLD,329,175,200,11.515,3864.7,60,3298.03,0,0,3298.03,286.411637
9,56,IMPERIAL GOLD,333,145,205,9.898425,3380.65,49,3119.81,0,0,3119.81,315.1824659
10,57,IMPERIAL GOLD,332,170,195,11.0058,3856.18,59,3549.55,0,0,3549.55,322.5163096
11,58,IMPERIAL GOLD,350,180,210,13.23,3572.43,51,3309.79,0,0,3309.79,250.1730915
12,59,IMPERIAL GOLD,337,135,207,9.417465,2821,40,2468.47,0,0,2468.47,262.1161852
13,60,IMPERIAL GOLD,335,155,215,11.163875,3712.67,52,3361.3,0,0,3361.3,301.0872121
14,61,IMPERIAL GOLD,337,127,210,8.98779,2807.59,43,2376.93,0,0,2376.93,264.4621203
15,68,IMPERIAL GOLD,310,130,215,8.6645,,,,,,,0
16,69,IMPERIAL GOLD,295,150,215,9.51375,,,,,,,0
17,70,IMPERIAL GOLD,350,135,155,7.32375,1767.31,93,1965.24,0,0,1965.24,268.3379416
18,71,IMPERIAL GOLD,360,180,220,14.256,3875.04,123,3871.42,0,0,3871.42,271.5642536
19,72,IMPERIAL GOLD,365,130,235,11.15075,2882.06,129,1826.51,0,0,1826.51,163.801538
20,73,IMPERIAL GOLD,320,105,112,3.7632,708.265,23,605.71,0,0,605.71,160.9561012
21,75,IMPERIAL GOLD,260,120,100,3.12,915.65,43,812.78,0,0,812.78,260.5064103
22,76,IMPERIAL GOLD,335,95,170,5.41025,1421.26,46,1217.11,0,0,1217.11,224.9637263
23,77,IMPERIAL GOLD,306,145,110,4.8807,1087.43,41,938.11,0,0,938.11,192.2080849
24,79,IMPERIAL GOLD,325,150,220,10.725,2994.34,103,2824.89,0,0,2824.89,263.393007
25,80,IMPERIAL GOLD,346,220,220,16.7464,4478.91,148,4844.4,0,0,4844.4,289.2800841
26,105,IMPERIAL GOLD,323,85,140,3.8437,937.726,32,1355.59,0,0,1355.59,352.6784088
27,106,IMPERIAL GOLD,250,190,84,3.99,1477.36,61,1373.83,0,0,1373.83,344.3182957
28,107,IMPERIAL GOLD,265,180,60,2.862,639.38,25,533.65,0,0,533.65,186.4605171
29,108,IMPERIAL GOLD,250,175,50,2.1875,954.53,48,963.09,0,0,963.09,440.2697143
30,109,IMPERIAL GOLD,305,125,105,4.003125,1294.9,39,1180.33,0,0,1180.33,294.8521468
31,110,IMPERIAL GOLD,320,190,100,6.08,2435.7,38,2073.09,0,0,2073.09,340.96875
32,111,IMPERIAL GOLD,305,157,110,5.26735,2163.24,87,1973.53,0,0,1973.53,374.6722735
33,112,IMPERIAL GOLD,320,172,90,4.9536,1772.94,69,1933.32,0,0,1933.32,390.2858527
34,113,IMPERIAL GOLD,325,173,120,6.747,2672,78,2093.47,0,0,2093.47,310.2816066
35,114,IMPERIAL GOLD,325,198,120,7.722,2835.87,42,2541.99,0,0,2541.99,329.1880342
36,115,IMPERIAL GOLD,322,180,85,4.9266,2012.62,66,1860.98,0,0,1860.98,377.7412414
37,116,IMPERIAL GOLD,320,188,150,9.024,3716.16,118,3339.87,0,0,3339.87,370.1097074
38,117,IMPERIAL GOLD,320,180,70,4.032,2256,36,2280.19,0,0,2280.19,565.5233135
39,118,IMPERIAL GOLD,230,190,140,6.118,1786.52,75,2260.01,0,0,2260.01,369.4033998
40,119,IMPERIAL GOLD,322,190,85,5.2003,1830.4,66,1741.63,0,0,1741.63,334.9095245
41,120,IMPERIAL GOLD,320,188,77,4.63232,1971.83,29,1728.93,0,0,1728.93,373.2319874
42,121,IMPERIAL GOLD,320,100,190,6.08,2200.43,34,1855.93,0,0,1855.93,305.2516447
43,122,IMPERIAL GOLD,355,190,78,5.2611,2275.13,33,1960.93,0,0,1960.93,372.7224345
44,123,IMPERIAL GOLD,325,210,85,5.80125,2147.86,64,1909.17,0,0,1909.17,329.0963154
45,124,IMPERIAL GOLD,360,190,120,8.208,3587.28,109,3473.95,0,0,3473.95,423.2395224
46,125,IMPERIAL GOLD,354,95,155,5.21265,4316.29,,,59,,,0
48,182,IMPERIAL GOLD,350,205,205,14.70875,4867.63,70,4470.26,0,0,4470.26,303.9184159
49,183,IMPERIAL GOLD,330,205,200,13.53,4608.92,69,4210.27,0,0,4210.27,311.18034
50,184,IMPERIAL GOLD,345,203,190,13.30665,4705.84,66,4117.25,0,0,4117.25,309.4129627
51,185,IMPERIAL GOLD,340,185,130,8.177,,,,0,,0,0
52,186,IMPERIAL GOLD,330,205,175,11.83875,4361.74,64,4044.89,0,0,4044.89,341.6652941
53,187,IMPERIAL GOLD,300,195,190,11.115,3435.36,99,3036.75,0,0,3036.75,273.2118758
55,259,IMPERIAL GOLD,350,200,160,11.2,4303.98,57,3591.89,0,0,3591.89,320.7044643
56,260,IMPERIAL GOLD,355,200,185,13.135,4922.11,67,4057.29,0,0,4057.29,308.8915112
57,261,IMPERIAL GOLD,350,195,135,9.21375,2934.29,40,2458.73,0,0,2458.73,266.8544295
58,262,IMPERIAL GOLD,355,205,160,11.644,3455.92,47,3728.61,0,0,3728.61,320.2172793
59,263,IMPERIAL GOLD,355,200,220,15.62,4198.84,137,2332.61,0,0,2332.61,149.3348271
60,264,IMPERIAL GOLD,340,205,140,9.758,2897.047,39,2575.12,0,0,2575.12,263.8983398
61,265,IMPERIAL GOLD,350,190,200,13.3,5551.38,76,5076.47,0,0,5076.47,381.6894737
62,266,IMPERIAL GOLD,350,190,120,7.98,1615.9,24,1267.82,0,0,1267.82,158.8746867
63,267,IMPERIAL GOLD,320,200,200,12.8,4353.91,135,3786.29,0,0,3786.29,295.8039063
64,268,IMPERIAL GOLD,325,200,200,13,4334.51,132,4757.45,0,0,4757.45,365.9576923
65,269,IMPERIAL GOLD,345,200,145,10.005,1517.07,43,1196.37,0,0,1196.37,119.5772114
66,270,IMPERIAL GOLD,320,200,120,7.68,1957.22,66,1648.21,0,0,1648.21,214.6106771
67,271,IMPERIAL GOLD,340,140,120,5.712,1827.19,50,1571.34,0,0,1571.34,275.0945378
68,272,IMPERIAL GOLD,340,195,125,8.2875,3102.59,43,2719.26,0,0,2719.26,328.1158371
69,273,IMPERIAL GOLD,235,180,120,5.076,1897.53,85,1707.13,0,0,1707.13,336.3140268
70,274 B,IMPERIAL GOLD,325,125,120,4.875,902.73,39,1044.24,0,0,1044.24,214.2030769
71,275,IMPERIAL GOLD,350,130,90,4.095,1498.67,45,1091.82,0,0,1091.82,266.6227106
72,276 A,IMPERIAL GOLD,350,100,100,3.5,1238.46,36,1048.09,0,0,1048.09,299.4542857
73,277,IMPERIAL GOLD,350,200,95,6.65,708.35,23,458.51,0,0,458.51,68.94887218
74,278,IMPERIAL GOLD,300,200,100,6,2546.286329,28,565.67,55,1111.1375,1676.8075,279.4679167
76,328,IMPERIAL GOLD,300,200,125,7.5,2154.38,77,1966.25,0,0,1966.25,262.1666667
77,329,IMPERIAL GOLD,350,200,100,7,825.211,30,868.67,0,0,868.67,124.0957143
78,330,IMPERIAL GOLD,325,190,105,6.48375,2173.89,66,1636.44,0,0,1636.44,252.3909774
79,331,IMPERIAL GOLD,320,195,100,6.24,1849.68,64,1595.6,0,0,1595.6,255.7051282
80,332,IMPERIAL GOLD,335,200,175,11.725,3035,104,2998.92,0,0,2998.92,255.7714286
81,333,IMPERIAL GOLD,355,195,80,5.538,1422.57,,,59,0,0,0
82,334,IMPERIAL GOLD,355,200,100,7.1,2028.37,61,1741.41,0,0,1741.41,245.2690141
83,335,IMPERIAL GOLD,340,195,200,13.26,5124.74,68,4238.08,6,373.9482353,4612.028235,347.8151007
84,336,IMPERIAL GOLD,335,200,200,13.4,5354.82,75,4215.7,0,0,4215.7,314.6044776
85,337,IMPERIAL GOLD,340,200,200,13.6,4589.32,78,1831.19,59,1385.130897,3216.320897,236.4941836
86,338,IMPERIAL GOLD,333,205,205,13.994325,4213.2831,62,1911.38,65,2003.866129,3915.246129,279.7738461
87,339,IMPERIAL GOLD,245,200,165,8.085,2693.2,95,2483.46,0,0,2483.46,307.1688312
88,340,IMPERIAL GOLD,350,200,30,2.1,1028.848224,36,884.83,0,0,884.83,421.347619
89,341,IMPERIAL GOLD,330,180,120,7.128,2756.8,91,2201.26,0,0,2201.26,308.818743
90,342,IMPERIAL GOLD,270,195,95,5.00175,554,25,441.43,7,123.6004,565.0304,112.9665417
91,343,IMPERIAL GOLD,250,170,120,5.1,1943.33,55,864.22,34,534.2450909,1398.465091,274.2088414
92,344,IMPERIAL GOLD,300,205,200,12.3,4580.56,36,2061.86,34,1947.312222,4009.172222,325.9489612
93,345,IMPERIAL GOLD,355,205,195,14.191125,,,,,0,0,0
95,369,IMPERIAL GOLD,350,200,150,10.5,2298.3,77,2050.59,0,0,2050.59,195.2942857
96,370,IMPERIAL GOLD,355,205,200,14.555,5094.49,67,3877.49,0,0,3877.49,266.4026108
